pnt_id,pnt_num,pnt_lat,pnt_lon,pnt_xrd,pnt_yrd,dates,hgt,pnt_prj_id
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2006-03-06,100.056,385=085
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2007-04-16,100.056,385=792
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2012-05-13,100.061,384=14
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2016-07-31,100.069,388=02
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,1974-01-01,68.20599999999999,212W12-HLI
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,1979-01-01,68.211,212W01-HLI
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,1984-10-15,68.223,282W00-HLI
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,1991-10-06,68.237,324=00=NAP
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,2004-12-28,68.248,384=01
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,2012-05-13,68.267,384=14
060D0085,847,50.97929719559247,5.886416480049544,190060,332300,2016-07-31,68.261,388=02
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1974-01-01,78.62950000000001,212W12-HLI
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1979-01-01,78.6215,212W01-HLI
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1980-01-01,78.62450000000001,212W02-HLI
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1982-03-30,78.62950000000001,212W04HHLI
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1983-03-28,78.6265,212W11-HLI
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1984-10-15,78.62549999999999,282W00-HLI
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1987-05-30,78.63050000000001,282W13
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1988-11-24,78.62950000000001,282W14
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1989-09-20,78.63149999999999,281W45
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1991-10-06,78.632,324=00=NAP
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1997-03-23,78.631,371=00=NAP
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,1999-07-22,78.63550000000001,375W01
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,2000-05-09,78.631,382=087
